job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools,Job,skills
Network Engineer,Full Time,Capital IT,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'5000 to 6000 EGP Per Month',"'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","['English', 'HP']",Data Engineer,"['English', 'HP']"
Senior IT Systems Engineer - Cairo,Full Time,LEONI Wiring System Egypt S.A.E,"Nasr City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['DHCP', 'DNS']",Data Engineer,"['DHCP', 'DNS']"
Senior Test Engineer,Full Time,Network International -Egypt,"Dokki, Giza",'4 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'",[],Data Engineer,[]
Sr. Foreign Procurement Engineer,Full Time,Elsewedy industries,"10th of Ramadan City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Engineering - Mechanical/Electrical', 'Purchasing/Procurement'",[],Data Engineer,[]
Unity Game Developer,Full Time,Autsera Limited,"Dokki, Giza",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Design Patterns', 'Data Structure', 'Agile', 'API', 'C#', 'OOP', 'Graphics']",Data Engineer,"['Design Patterns', 'Data Structure', 'Agile', 'API', 'C#', 'OOP', 'Graphics']"
Senior Security Engineer,Full Time,Ibn Sina Pharma,"New Cairo, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'",[],Data Engineer,[]
Site Architecture Engineer - Finishing,Full Time,Elattal Holding ,"Sheraton, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Construction/Civil/Architecture', 'Creative/Design/Art'",['English'],Data Engineer,['English']
Sales Account Manager,Full Time,Capital IT,"Nasr City, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'10000 to 15000 EGP Per Month',"'Sales/Retail', 'IT/Software Development'","['Cloud Computing', 'Data Center', 'Admin', 'HP']",Data Engineer,"['Cloud Computing', 'Data Center', 'Admin', 'HP']"
Senior Sales Engineer,Full Time,EGID company,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social Insurance, Medical Insurance & Semi-Annual Bonus'","'Sales/Retail', 'IT/Software Development', 'Engineering - Telecom/Technology'",[],Data Engineer,[]
Sr. Cost Estimator Engineer,Full Time,Floortec,"Sheikh Zayed, Giza",'12 to 15 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Construction/Civil/Architecture', 'Project/Program Management'",[],Data Engineer,[]
Senior Performance Engineer,Full Time,Expleo,"Maadi, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical'","['DevOps', 'Agile']",Data Engineer,"['DevOps', 'Agile']"
Estimation Engineer,Full Time,Al Rabat,"New Cairo, Cairo",'More than 5 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical'",[],Data Engineer,[]
Devops Engineer,Full Time,Beyond Solution,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Medical ,Social & Life Insurance'","'Engineering - Telecom/Technology', 'IT/Software Development'","['Linux OS', 'DevOps', 'CI/CD', 'Agile', 'Kubernetes', 'python', 'Docker']",Data Engineer,"['Linux OS', 'DevOps', 'CI/CD', 'Agile', 'Kubernetes', 'python', 'Docker']"
Electrical Engineer,Full Time,Global Medical Solutions International ,"Cairo, Egypt",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',[],Data Engineer,[]
Senior Software Engineer - GoLang,Full Time,Andela,"Cairo, Egypt",'2 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'25000 to 40000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","['MongoDB', 'Andriod programming', 'NodeJS', 'Amazon Web Services', 'Design Patterns', 'Docker']",Data Engineer,"['MongoDB', 'Andriod programming', 'NodeJS', 'Amazon Web Services', 'Design Patterns', 'Docker']"
Outdoor Technical Sales Engineer,Full Time,ManEx Systems,"6th of October, Giza",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Commission, Transportation and Bonus are included'","'Sales/Retail', 'Engineering - Mechanical/Electrical'",['Mechatronics'],Data Engineer,['Mechatronics']
Maintenance Engineer- Heliopolis,Full Time,Al Amin Technological Systems,"Heliopolis, Cairo",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology'","['Mechatronics', 'Electronics', 'Electronics Engineering']",Data Engineer,"['Mechatronics', 'Electronics', 'Electronics Engineering']"
Maintenance Engineer,Full Time,Al Amin Technological Systems,"6th of October, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology'","['Electronics', 'Electronics Engineering']",Data Engineer,"['Electronics', 'Electronics Engineering']"
Business Development Engineer,Full Time,Stratoil Energy Services,"Cairo, Egypt",'0 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Business Development', 'Sales/Retail', 'Engineering - Oil & Gas/Energy'",[],Data Engineer,[]
MV Design Engineer,Full Time,Sega_m,"10th of Ramadan City, Sharqia",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Creative/Design/Art'","['English', 'Design Patterns']",Data Engineer,"['English', 'Design Patterns']"
Mechanical Engineer,Full Time,Global Medical Solutions International ,"Cairo, Egypt",'8 to 12 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',"['Mechanical Engineering', 'Mechanical']",Data Engineer,"['Mechanical Engineering', 'Mechanical']"
Sales Support Engineer,Full Time,ICON Holding,"Helwan, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, 1000'","'Engineering - Other', 'Sales/Retail'",[],Data Engineer,[]
Senior Cost Control Engineer,Full Time,Redcon Spain,"Heliopolis, Cairo",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'",[],Data Engineer,[]
Technical Office Design Engineer,Full Time,Tanta Motors ,"Mahalla Kubra, Gharbia",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Creative/Design/Art'",['Design Patterns'],Data Engineer,['Design Patterns']
Senior Full Stack Engineer - Alexandria,Full Time,Caduceus Lane,"San Stefano, Alexandria",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['JavaScript', 'MySQL', 'HTML', 'PHP Web Programming', 'Full Stack Developement', 'jQuery', 'CSS', 'Angular']",Data Engineer,"['JavaScript', 'MySQL', 'HTML', 'PHP Web Programming', 'Full Stack Developement', 'jQuery', 'CSS', 'Angular']"
Process Engineer (Suez),Full Time,Micro Engineering,"Suez, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Other', 'Engineering - Oil & Gas/Energy', 'Engineering - Mechanical/Electrical'",['Mechanical Engineering'],Data Engineer,['Mechanical Engineering']
Senior / Staff Layout Design Engineer,Full Time, Si-Vision,"Sheraton, Cairo",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Linux OS', 'Electronics', 'Analog', 'Design Patterns']",Data Engineer,"['Linux OS', 'Electronics', 'Analog', 'Design Patterns']"
Sales Engineer,Full Time,Egyptian Engineering Company,"6th of October, Giza",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Sales/Retail', 'Engineering - Mechanical/Electrical'","['Mechanical', 'Mechatronics']",Data Engineer,"['Mechanical', 'Mechatronics']"
Senior Java Developer,Full Time,egabi solutions,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Design Patterns', 'Design Patterns', 'Java', 'SQL', 'Spring Boot framework', 'REST', 'Oracle DB', 'Data Structures', 'OOP', 'Development', 'Algorithm']",Data Engineer,"['Design Patterns', 'Design Patterns', 'Java', 'SQL', 'Spring Boot framework', 'REST', 'Oracle DB', 'Data Structures', 'OOP', 'Development', 'Algorithm']"
Senior Digital Data Analyst,Full Time,Jazeera Paints,"10th of Ramadan City, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Transportation , Social Insurance ,Medical Insurance'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['English', 'Analytical Skills', 'Data', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills']",Data Engineer,"['English', 'Analytical Skills', 'Data', 'Analytical Skills', 'Analytical Skills', 'Analytical Skills']"
Senior MEP Engineer,Full Time,Talent 360,"Nasr City, Cairo",'2 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Engineering - Mechanical/Electrical',['Design Patterns'],Data Engineer,['Design Patterns']
Instrument Engineer (Suez),Full Time,Micro Engineering,"Suez, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical'","['Mechatronics', 'Electronics']",Data Engineer,"['Mechatronics', 'Electronics']"
Technical Admin Assistant - Engineering Team,Full Time,Target Recruitment  & HR Solutions ,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Mechanical/Electrical', 'Administration'","['Database', 'English', 'Database Systems', 'Admin']",Data Engineer,"['Database', 'English', 'Database Systems', 'Admin']"
Quality Control Engineer,Full Time,EGYTRAFO,"Badr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Quality', 'Engineering - Mechanical/Electrical'","['English', 'Mechanical Engineering', 'Mechanical']",Data Engineer,"['English', 'Mechanical Engineering', 'Mechanical']"
Planning Engineer,Full Time,Solera,"Heliopolis, Cairo",'3 to 6 years','Experienced (Non-Manager)','Not Specified','Confidential','Engineering - Mechanical/Electrical',[],Data Engineer,[]
Associate System Engineer,Full Time,URANIUM,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Annual Based On Performance'","'Engineering - Telecom/Technology', 'IT/Software Development'","['English', 'SQL', 'HP Servers', 'DHCP', 'DNS', 'Admin', 'Admin']",Data Engineer,"['English', 'SQL', 'HP Servers', 'DHCP', 'DNS', 'Admin', 'Admin']"
HSE Engineer,Full Time,Dreem Mashreq Foods ,"Bourj Alarab, Alexandria",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Quality', 'Engineering - Other', 'Manufacturing/Production'",[],Data Engineer,[]
Technical Lead,Full Time,Block Gemini,"Mohandessin, Giza",'5 to 8 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Data', 'Development', 'NodeJS', 'Design Patterns', 'Angular']",Data Engineer,"['Data', 'Development', 'NodeJS', 'Design Patterns', 'Angular']"
Senior Python Engineer,Full Time,Brainology,"Cairo, Egypt",'More than 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'",['python'],Data Engineer,['python']
Project Control Engineer,Full Time,Construction & Design Co. SAE,"North Coast, Matruh",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',[],Data Engineer,[]
Quality Engineer,Full Time,Midea Egypt,"Ain Sokhna, Suez",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',[],Data Engineer,[]
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Cloud Computing', 'R', 'Mathematics', 'Machine Learning', 'python']",Data scientist,"['Cloud Computing', 'R', 'Mathematics', 'Machine Learning', 'python']"
Data Scientist,Full Time,Mobica,"Giza, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['SQL', 'Data Science', 'Data', 'SAP', 'python']",Data scientist,"['SQL', 'Data Science', 'Data', 'SAP', 'python']"
Data Scientist,Full Time,Chefaa IT,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['SQL', 'Data Science', 'Data', 'Statistics', 'Hadoop', 'python', 'Mathematics']",Data scientist,"['SQL', 'Data Science', 'Data', 'Statistics', 'Hadoop', 'python', 'Mathematics']"
Data Scientist - For USA (Remotely),Full Time,Mobile Wave 3,"Cairo, Egypt",'10 to 17 years','Manager ',"""Master's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Data Science', 'Analytical Skills', 'Data', 'Analytical Skills', 'applied statistics', 'Machine Learning', 'Clustering', 'Analytical Skills', 'Matlab']",Data scientist,"['Data Science', 'Analytical Skills', 'Data', 'Analytical Skills', 'applied statistics', 'Machine Learning', 'Clustering', 'Analytical Skills', 'Matlab']"
Staff Data Scientist,Full Time,Nana,"Sheraton, Cairo",'5 to 8 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Data', 'Development', 'Machine Learning']",Data scientist,"['Data', 'Development', 'Machine Learning']"
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Cloud Computing', 'Statistics', 'ETL', 'Data Wrangling', 'SQL', 'Deep Neural Network (DNN)', 'Machine Learning', 'Deep Learning Framework', 'Artificial Intelligence', 'Hadoop', 'Deep Learning', 'Data Science', 'Mathematics', 'python']",Data scientist,"['Cloud Computing', 'Statistics', 'ETL', 'Data Wrangling', 'SQL', 'Deep Neural Network (DNN)', 'Machine Learning', 'Deep Learning Framework', 'Artificial Intelligence', 'Hadoop', 'Deep Learning', 'Data Science', 'Mathematics', 'python']"
Power BI Developer,Full Time,BI-Technologies,"New Cairo, Cairo",'1 to 5 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Medical Insurance, Social Insurance, Life Insurance, Retirement Plan Transportation and Profit Share'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","['Power BI', 'SQL', 'Data Warehouse', 'Data Science', 'Power BI', 'Power BI', 'Oracle DB', 'Power BI']",Data scientist,"['Power BI', 'SQL', 'Data Warehouse', 'Data Science', 'Power BI', 'Power BI', 'Oracle DB', 'Power BI']"
Power BI Developer,Part Time,Kick Start Interactive,"Dokki, Giza",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Power BI', 'SQL', 'Data Warehouse', 'Power BI', 'Power BI', 'Oracle DB', 'Design Patterns']",Data scientist,"['Power BI', 'SQL', 'Data Warehouse', 'Power BI', 'Power BI', 'Oracle DB', 'Design Patterns']"
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['English', 'Artificial Intelligence', 'Development', 'Artificial Intelligence']",Data scientist,"['English', 'Artificial Intelligence', 'Development', 'Artificial Intelligence']"
Senior Front-End Developer (Angular),Full Time,Lines Dev,"Mansoura, Dakahlia",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','IT/Software Development',"['Angular', 'Front End']",Data scientist,"['Angular', 'Front End']"
Senior Back End Developer,Full Time,BlinkApp,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, + Competitive Package + Social Insurance + Friendly Working Environment'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Creative/Design/Art'","['JavaScript', 'SQL', 'Agile', '.Net', '.Net', 'API', 'Angular']",Data scientist,"['JavaScript', 'SQL', 'Agile', '.Net', '.Net', 'API', 'Angular']"
Mean Stack Developer,Full Time,Advansys ESC,"Nasr City, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['JavaScript', 'MongoDB', 'Git', 'HTML', 'SQL', 'Agile', 'jQuery', 'Angular']",Data scientist,"['JavaScript', 'MongoDB', 'Git', 'HTML', 'SQL', 'Agile', 'jQuery', 'Angular']"
.Net Full Stack Developer,Full Time,Nile University,"6th of October, Giza",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Git', 'SQL', 'HTML5', 'javaScript', '.Net', 'jQuery', 'C#', 'Angular']",Data scientist,"['Git', 'SQL', 'HTML5', 'javaScript', '.Net', 'jQuery', 'C#', 'Angular']"
Senior Full Stack Developer (NodeJS/React),Full Time,Standout Solutions,"New Cairo, Cairo",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['MongoDB', 'JavaScript', 'Ruby', 'Angular', 'HTML', 'Java', 'PHP Web Programming', 'Full Stack Developement', 'Oracle DB', 'React', 'CSS', '.Net', 'NodeJS', 'Angular', 'MySQL', 'python']",Data scientist,"['MongoDB', 'JavaScript', 'Ruby', 'Angular', 'HTML', 'Java', 'PHP Web Programming', 'Full Stack Developement', 'Oracle DB', 'React', 'CSS', '.Net', 'NodeJS', 'Angular', 'MySQL', 'python']"
Full Stack Java Developer (Remotely for USA),Full Time,Mobile Wave 3,"Nasr City, Cairo",'4 to 7 years','Experienced (Non-Manager)','MBA','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['JavaScript', 'MySQL', 'Java', 'Angular', 'Data Science', 'Full Stack Developement', 'jQuery', 'React', 'NodeJS', 'python', 'CSS']",Data scientist,"['JavaScript', 'MySQL', 'Java', 'Angular', 'Data Science', 'Full Stack Developement', 'jQuery', 'React', 'NodeJS', 'python', 'CSS']"
Full Stack Developer,Full Time,Squadio,"Cairo, Egypt",'4 to 9 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'1400 to 2000 USD Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","['JavaScript', 'MySQL', 'HTML', 'Java', 'Full Stack Developement', 'jQuery', 'React', 'CSS', 'Angular']",Data scientist,"['JavaScript', 'MySQL', 'HTML', 'Java', 'Full Stack Developement', 'jQuery', 'React', 'CSS', 'Angular']"
Machine Learning Operations Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['C++', 'Computer Vision', 'Machine Learning', 'python', 'Design Patterns', 'TensorFlow']",Data scientist,"['C++', 'Computer Vision', 'Machine Learning', 'python', 'Design Patterns', 'TensorFlow']"
Computer Vision Engineer,Full Time,Atomica,"Cairo, Egypt",'1 to 10 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","['Git', 'Cloud Computing', 'C++', 'Linear Algebra', 'GPU computing', 'Deep Learning Framework', 'TensorFlow', 'CUDA', 'Computational Geometry', 'Deep Learning', 'Computer Vision', 'Image Processing', 'PyTorch', 'Mathematics', 'python']",Data scientist,"['Git', 'Cloud Computing', 'C++', 'Linear Algebra', 'GPU computing', 'Deep Learning Framework', 'TensorFlow', 'CUDA', 'Computational Geometry', 'Deep Learning', 'Computer Vision', 'Image Processing', 'PyTorch', 'Mathematics', 'python']"
